Date,Time,OpenBid,HighBid,LowBid,CloseBid
01/02/2009,11:36:00,1238.65,1238.97,1238.65,1238.97
01/02/2009,11:37:00,1238.79,1238.92,1238.73,1238.92
01/02/2009,11:38:00,1238.6,1238.87,1238.06,1238.06
01/02/2009,11:39:00,1238.2,1238.2,1238.14,1238.18
01/02/2009,11:40:00,1238.24,1238.24,1237.92,1238.08
01/02/2009,11:41:00,1238.12,1238.21,1238.07,1238.21
01/02/2009,11:42:00,1238.21,1238.89,1238.21,1238.8
01/02/2009,11:43:00,1238.56,1238.63,1238.43,1238.43
01/02/2009,11:44:00,1237.53,1237.53,1237.25,1237.36
01/02/2009,11:45:00,1238.24,1238.24,1237.84,1237.84
01/02/2009,11:46:00,1237.93,1237.93,1237.62,1237.62
01/02/2009,11:47:00,1237.92,1238.28,1237.92,1238.28
01/02/2009,11:48:00,1238.19,1238.19,1237.83,1238.06
01/02/2009,11:49:00,1238.26,1238.26,1237.25,1237.25
01/02/2009,11:50:00,1237.54,1238,1237.54,1237.58
01/02/2009,11:51:00,1237.4,1237.4,1237.21,1237.21
01/02/2009,11:52:00,1237.07,1237.1,1236.71,1236.71
01/02/2009,11:53:00,1236.59,1236.59,1236.16,1236.23
01/02/2009,11:54:00,1236.21,1236.21,1236.12,1236.13
01/02/2009,11:55:00,1236.3,1236.9,1236.3,1236.9
01/02/2009,11:56:00,1237.01,1237.27,1236.59,1237.27
01/02/2009,11:57:00,1237.28,1238.24,1237.23,1238.24
01/02/2009,11:58:00,1238.46,1238.56,1237.69,1237.69
01/02/2009,11:59:00,1237.87,1237.87,1237.5,1237.5
01/02/2009,12:00:00,1237.26,1237.62,1237.25,1237.61
01/02/2009,12:01:00,1237.65,1237.65,1236.95,1236.95
01/02/2009,12:02:00,1236.68,1236.72,1236.43,1236.72
01/02/2009,12:03:00,1236.98,1237.21,1236.98,1237.21
01/02/2009,12:04:00,1237.43,1237.45,1237.43,1237.45
01/02/2009,12:05:00,1237.61,1237.72,1237.59,1237.59
01/02/2009,12:06:00,1237.38,1237.38,1237.26,1237.26
01/02/2009,12:07:00,1237.21,1237.45,1237.21,1237.45
01/02/2009,12:08:00,1237.6,1238.23,1237.6,1238.23
01/02/2009,12:09:00,1238.28,1238.3,1238.08,1238.08
01/02/2009,12:10:00,1238.17,1239.33,1238.17,1239.3
01/02/2009,12:11:00,1238.97,1239.49,1238.87,1239.39
01/02/2009,12:12:00,1238.96,1239.16,1238.96,1239.16
01/02/2009,12:13:00,1239.22,1239.29,1239.21,1239.27
01/02/2009,12:14:00,1239.4,1239.4,1237.74,1238.14
01/02/2009,12:15:00,1238.51,1238.63,1238.51,1238.62
01/02/2009,12:16:00,1238.55,1238.7,1238.52,1238.6
01/02/2009,12:17:00,1238.19,1238.19,1238.06,1238.1
01/02/2009,12:18:00,1238.52,1238.52,1238.49,1238.51
01/02/2009,12:19:00,1238.52,1238.85,1238.5,1238.85
01/02/2009,12:20:00,1238.55,1238.67,1238.55,1238.67
01/02/2009,12:21:00,1238.6,1238.93,1238.12,1238.12
01/02/2009,12:22:00,1238.19,1238.58,1238.19,1238.58
